CollarID,HoleId,Longitude,Latitude,RL,MaxDepth,
1146526,71288Minjar NorthSSDD006,116.948,-28.8991,356.255,546.4,
1146528,71288Minjar NorthSSDD008,116.947,-28.9021,356.871,405.0,
1146530,71288Minjar NorthSSDD010,116.949,-28.9083,360.214,249.0,
1146531,71288Minjar NorthSSDD011,116.948,-28.9002,357.153,468.0,
1146650,71288Minjar NorthSSDD005,116.948,-28.9002,357.156,150,
1233095,82655KararaBHN1001,116.818,-29.1504,383.557,108,
1233096,82655KararaBHN1002,116.818,-29.151,382.505,108,
1233098,82655KararaKAR1001,116.775,-29.1886,414.225,713.4,
1233099,82655KararaKAR1002,116.775,-29.1885,414.093,620.2,
1233100,82655KararaKAR1003,116.774,-29.1913,439.337,200,
1233101,82655KararaKAR1004,116.775,-29.1913,439.583,186,
1233102,82655KararaKAR1005,116.776,-29.1913,420.274,150,
1233103,82655KararaKAR1006,116.776,-29.1801,427.641,250,
1233104,82655KararaKAR1007,116.777,-29.1788,413.069,250,
1233105,82655KararaKAR1008,116.777,-29.1781,417.671,236,
1233106,82655KararaKAR1009,116.778,-29.1772,411.446,162,
1233107,82655KararaKAR1010,116.78,-29.1763,411.607,240,
1233108,82655KararaKAR1011,116.785,-29.1731,377.475,150,
1233109,82655KararaMKC309,116.822,-29.1489,408.771,180,
1233110,82655KararaMKC430,116.823,-29.1473,378.195,150,
1233113,82655KararaMKC433,116.819,-29.1515,377.159,221,
1233114,82655KararaMKC434,116.82,-29.1502,398.064,197,
1233115,82655KararaMKC435,116.82,-29.1502,397.877,162,
1233116,82655KararaMKC436,116.818,-29.1517,374.325,144,
1233117,82655KararaMKC439,116.823,-29.1477,387.49,120,
1233118,82655KararaMKC440,116.819,-29.1521,368.867,120,
1233121,82655KararaMKC445,116.821,-29.149,403.327,120,
1233125,82655KararaMKC451,116.82,-29.1496,400.418,107,
1233126,82655KararaMKC452,116.82,-29.1497,400.363,190,
1233127,82655KararaMKC454,116.82,-29.1498,403.73,126,
1233130,82655KararaMKC457,116.822,-29.1488,412.147,162,
1233133,82655KararaMKC460,116.823,-29.1485,408.102,168,
1233134,82655KararaMKC461,116.822,-29.1487,411.867,126,
1233135,82655KararaMKC464,116.783,-29.1715,415.086,101,
1233136,82655KararaMKC465,116.783,-29.1715,415.117,186,
1233137,82655KararaMKC466,116.784,-29.1718,414.784,270,
1233138,82655KararaMKC467,116.78,-29.174,410.218,154,
1233139,82655KararaMKC468,116.782,-29.1728,411.242,180,
1233140,82655KararaMKC469,116.785,-29.17,411.248,180,
1233141,82655KararaMKC470,116.788,-29.1677,400.675,180,
1233142,82655KararaMKC471,116.787,-29.1699,381.593,170,
1233143,82655KararaMKC472,116.787,-29.1718,369.206,144,
1233144,82655KararaMKC473,116.785,-29.1731,377.528,168,
1233145,82655KararaMKC474,116.785,-29.175,370.174,126,
1233146,82655KararaMKC475,116.783,-29.1763,379.847,164,
1233147,82655KararaMKC476,116.781,-29.1793,380.265,132,
1233148,82655KararaMKC477,116.781,-29.1798,369.727,168,
1233149,82655KararaMKC478,116.778,-29.1817,378.301,166,
1233150,82655KararaMKC479,116.777,-29.1807,392.573,175,
1233151,82655KararaMKC480,116.777,-29.1838,376.052,170,
1233152,82655KararaMKC481,116.777,-29.1904,402.044,150,
1233153,82655KararaMKC484,116.778,-29.1894,374.132,180,
1233154,82655KararaMKC485,116.773,-29.1852,434.943,180,
1233155,82655KararaMKC486,116.776,-29.1826,413.028,168,
1233156,82655KararaMKC487,116.777,-29.1788,411.864,170,
1233157,82655KararaMKC488,116.776,-29.1776,412.133,137,
1233172,82655KararaMKC519,116.758,-29.1729,364.602,138,
1233179,82655KararaMKC527,116.749,-29.1723,359.263,126,
1233185,82655KararaMKC533,116.75,-29.1759,358.45,126,
1233204,82655KararaMKC552,116.757,-29.1751,371.693,132,
1233205,82655KararaMKC553,116.773,-29.1904,432.749,216,
1233206,82655KararaMKC554,116.776,-29.1913,419.812,138,
1233207,82655KararaMKD042,116.774,-29.1894,431.426,450,
1233208,82655KararaMKD054,116.781,-29.1793,380.234,443.2,
1233209,82655KararaMKD117,116.821,-29.149,403.074,215,
1233210,82655KararaMKD124,116.774,-29.1876,416.671,703.2,
1233211,82655KararaMKD132,116.775,-29.1904,435.841,444.7,
1233212,82655KararaMKD178,116.776,-29.1904,419.057,467,
1233213,82655KararaMKD190,116.774,-29.1886,432.543,452.4,
1233214,82655KararaMKD200,116.774,-29.1886,421.876,500.1,
1233215,82655KararaMKD219,116.776,-29.1912,420.894,288.2,
1233216,82655KararaMKD251,116.774,-29.1877,422.946,556.4,
1233217,82655KararaMKD378,116.775,-29.1913,439.417,275,
1233218,82655KararaMKD380,116.774,-29.1904,439.49,356.1,
1233219,82655KararaMKD381,116.775,-29.1904,427.781,342.6,
1233220,82655KararaMKD382,116.775,-29.1904,427.832,311.1,
1233221,82655KararaMKD384,116.774,-29.1912,439.148,302.1,
1233222,82655KararaMKD399,116.774,-29.1895,431.721,540.6,
1233223,82655KararaMKD400,116.774,-29.1894,431.53,501.3,
1233224,82655KararaMKD417,116.774,-29.1886,422.015,597.1,
1233225,82655KararaMKD420,116.817,-29.1508,364.621,221.3,
1233226,82655KararaMKD423,116.818,-29.1498,376.292,317.4,
1233227,82655KararaMKD427,116.823,-29.1467,370.619,260.1,
1233228,82655KararaMKD437,116.823,-29.1486,401.219,245,
1233229,82655KararaMKD438,116.822,-29.1476,387.233,147.4,
1233231,82655KararaMKD443,116.821,-29.1485,390.166,247.4,
153802,69189Minjar NorthSSRC007,116.949,-28.9058,359.251,127.7,
153803,69189Minjar NorthSSRC008,116.949,-28.9058,359.132,130,
153804,69189Minjar NorthSSRC009,116.949,-28.9058,359.122,120,
153813,69189Minjar NorthSSRC019,116.949,-28.9065,359.387,174,
153815,69189Minjar NorthSSRC021,116.949,-28.9068,359.78,156,
153816,69189Minjar NorthSSRC022,116.949,-28.9068,359.737,146,
153834,69189Minjar NorthSSRC047,116.949,-28.9047,358.549,144,
153835,69189Minjar NorthSSRC048,116.949,-28.9041,358.533,150,
323369,74320E59/1068MGC018,116.907,-29.1621,390.35,114,
323371,74320E59/1068MGC020,116.908,-29.1414,413.7,180,
323372,74320E59/1068MGC021,116.906,-29.1371,428.062,144,
323373,74320E59/1068MGC022,116.908,-29.1523,400.02,130,
323374,74320E59/1068MGC023,116.906,-29.1382,429.317,227,
323375,74320E59/1068MGC024,116.91,-29.1399,506.135,154,
323376,74320E59/1068MGC025,116.91,-29.1399,502.213,148,
323377,74320E59/1068MGC026,116.91,-29.1405,498.461,106,
323378,74320E59/1068MGC027,116.91,-29.1404,497.78,130,
323380,74320E59/1068MGC029,116.91,-29.1398,506.096,148,
323381,74320E59/1068MGC030,116.905,-29.1371,428.74,220,
323382,74320E59/1068MGC031,116.905,-29.1375,420.775,200,
323383,74320E59/1068MGC032,116.906,-29.1368,435.843,180,
323384,74320E59/1068MGC033,116.905,-29.1377,418.814,200,
323385,74320E59/1068MGC034,116.909,-29.1399,493.714,120,
323386,74320E59/1068MGC035,116.909,-29.1397,495.658,120,
323387,74320E59/1068MGC036,116.909,-29.1397,496.431,120,
323388,74320E59/1068MGC037,116.906,-29.1373,425.042,220,
323389,74320E59/1068MGC038,116.905,-29.1373,422.488,180,
323390,74320E59/1068MGC039,116.908,-29.1407,410.235,180,
323391,74320E59/1068MGC040,116.91,-29.1437,489.735,133,
323392,74320E59/1068MGC041,116.91,-29.1437,489.318,120,
323393,74320E59/1068MGC042,116.909,-29.1483,402.915,112,
323394,74320E59/1068MGC043,116.909,-29.1497,410.839,118,
323395,74320E59/1068MGC044,116.908,-29.1513,402.309,142,
323396,74320E59/1068MGC045,116.908,-29.1523,400.128,130,
323397,74320E59/1068MGC046,116.906,-29.1375,434.172,120,
323398,74320E59/1068MGC047,116.906,-29.1373,434.492,140,
548917,76539LodestoneLSC001,117.146,-29.4044,331.316,214,
548918,76539LodestoneLSC002,117.148,-29.4044,321.677,198,
548919,76539LodestoneLSC008,117.148,-29.4405,357.628,250,
548920,76539LodestoneLSC009,117.144,-29.4188,351.116,250,
548921,76539LodestoneLSC012,117.148,-29.4116,323.555,252,
548922,76539LodestoneLSC013,117.146,-29.4116,325.607,240,
548924,76539LodestoneLSD004,117.153,-29.4261,347.521,198.4,
548925,76539LodestoneLSD005,117.151,-29.4261,356.657,353.2,
666230,73158Minjar NorthMGC001,116.883,-29.1298,414.999,168,
666231,73158Minjar NorthMGC002,116.883,-29.1293,413.653,144,
666232,73158Minjar NorthMGC003,116.882,-29.1288,410.632,160,
666233,73158Minjar NorthMGC004,116.882,-29.1282,405.942,126,
666234,73158Minjar NorthMGC005,116.883,-29.1272,404.246,120,
666235,73158Minjar NorthMGC006,116.883,-29.1266,403.531,108,
666236,73158Minjar NorthMGC007,116.882,-29.1257,399.84,112,
666238,73158Minjar NorthMGC009,116.909,-29.1483,403.165,144,
666239,73158Minjar NorthMGC010,116.909,-29.1505,416.56,132,
666242,73158Minjar NorthMGC013,116.908,-29.1513,402.65,126,
666244,73158Minjar NorthMGC015,116.91,-29.165,383.08,126,
666246,73158Minjar NorthMGC017,116.907,-29.1639,365.669,126,
724522,77590KararaSNC001,116.936,-28.8493,400.554,114,
724523,77590KararaSNC002,116.936,-28.8493,398.907,120,
724525,77590KararaSNC004,116.936,-28.8512,409.395,108,
724526,77590KararaSNC005,116.937,-28.8512,406.627,114,
724528,77590KararaSNC007,116.937,-28.853,408.391,120,
724529,77590KararaSNC008,116.937,-28.853,404.672,133,
724530,77590KararaSNC009,116.937,-28.8546,404.351,120,
792807,73744Minjar SouthMKD001,116.779,-29.1759,406.69,120.3,
792808,73744Minjar SouthMKD002,116.78,-29.1763,411.2,186.5,
792810,73744Minjar SouthMKD017,116.779,-29.1779,413.08,292.7,
792811,73744Minjar SouthMKD018,116.78,-29.1786,400.1,300.2,
792812,73744Minjar SouthMKD020,116.781,-29.1793,380.61,300.0,
792813,73744Minjar SouthMKD021,116.781,-29.1798,370.28,303.4,
792815,73744Minjar SouthMKD022a,116.774,-29.1833,435.95,300.4,
792816,73744Minjar SouthMKD026,116.778,-29.1794,383.19,235.0,
792817,73744Minjar SouthMKD037,116.774,-29.1839,427.11,300.2,
792818,73744Minjar SouthMKD041,116.773,-29.1876,432.93,321.6,
792819,73744Minjar SouthMKD042,116.774,-29.1894,431.475,300.0,
792820,73744Minjar SouthMKD044,116.773,-29.1825,419.5,237.4,
792821,73744Minjar SouthMKD045,116.776,-29.1852,381.85,300.6,
792822,73744Minjar SouthMKD051,116.775,-29.1844,418.26,276.6,
792823,73744Minjar SouthMKD053,116.777,-29.1862,376.99,261.5,
792824,73744Minjar SouthMKD054,116.781,-29.1793,380.2,335.4,
792825,73744Minjar SouthMKD055,116.779,-29.1779,413.229,350.0,
792826,73744Minjar SouthMKD062,116.779,-29.1801,378.461,287.3,
792827,73744Minjar SouthMKD064,116.781,-29.1798,370.12,340.5,
792828,73744Minjar SouthMKD065,116.785,-29.175,370.45,300.0,
792829,73744Minjar SouthMKD066,116.785,-29.1758,364.74,600.2,
792830,73744Minjar SouthMKD067,116.784,-29.1742,385.52,599.8,
792831,73744Minjar SouthMKD068,116.777,-29.1808,393.779,299.3,
792832,73744Minjar SouthMKD069,116.777,-29.1814,384.928,269.9,
792833,73744Minjar SouthMKD070,116.778,-29.1766,407.302,630.2,
792834,73744Minjar SouthMKD072,116.774,-29.1789,402.09,242.7,
792835,73744Minjar SouthMKD073,116.774,-29.1784,398.42,249.0,
792836,73744Minjar SouthMKD074,116.774,-29.1782,393.3,250.0,
792837,73744Minjar SouthMKD075,116.773,-29.1779,389.112,609.1,
792838,73744Minjar SouthMKD077,116.782,-29.1775,403.71,299.7,
792839,73744Minjar SouthMKD082,116.772,-29.1794,389.19,417.85,
792840,73744Minjar SouthMKD083,116.772,-29.1818,398.64,590.6,
792841,73744Minjar SouthMKD084,116.771,-29.1813,386.174,360.5,
792842,73744Minjar SouthMKD085,116.776,-29.1852,381.693,254.7,
792843,73744Minjar SouthMKD086,116.777,-29.181,388.608,321.0,
792844,73744Minjar SouthMKD087,116.787,-29.1718,369.19,600.2,
792845,73744Minjar SouthMKD088,116.786,-29.171,385.073,350.4,
792846,73744Minjar SouthMKD094,116.782,-29.1804,362.96,239.9,
792847,73744Minjar SouthMKD095,116.785,-29.1703,410.9,281.8,
792848,73744Minjar SouthMKD096,116.785,-29.1699,410.661,132.0,
792849,73744Minjar SouthMKD102,116.776,-29.1827,411.353,298.4,
792850,73744Minjar SouthMKD107,116.79,-29.1693,370.748,573.3,
792851,73744Minjar SouthMKD110,116.788,-29.168,393.634,263.0,
792856,73744Minjar SouthMKC003,116.781,-29.1769,412.28,250,
792857,73744Minjar SouthMKC004,116.776,-29.1782,418.17,150,
792858,73744Minjar SouthMKC005,116.782,-29.1775,403.75,250,
792859,73744Minjar SouthMKC006,116.777,-29.1788,412.8,250,
792860,73744Minjar SouthMKC007,116.774,-29.1814,430.1,250,
792861,73744Minjar SouthMKC008,116.776,-29.1826,412.41,250,
792862,73744Minjar SouthMKC009,116.774,-29.1858,426.401,250,
792863,73744Minjar SouthMKC010,116.773,-29.1852,435.04,247,
792864,73744Minjar SouthMKC011,116.772,-29.1847,432.82,250,
792865,73744Minjar SouthMKC012,116.774,-29.1863,418.17,250,
792866,73744Minjar SouthMKC014,116.775,-29.1868,410.08,250,
792867,73744Minjar SouthMKC016,116.773,-29.1801,399.81,180,
792868,73744Minjar SouthMKC019,116.775,-29.182,429.31,252,
792869,73744Minjar SouthMKC024,116.776,-29.1775,411.99,120,
792870,73744Minjar SouthMKC025,116.782,-29.1782,391.96,240,
792873,73744Minjar SouthMKC035,116.775,-29.1906,430.22,120,
792874,73744Minjar SouthMKC036,116.779,-29.1807,368.062,250,
792876,73744Minjar SouthMKC040,116.773,-29.1876,442.9,250,
792877,73744Minjar SouthMKC043,116.772,-29.1876,432.37,150,
792883,73744Minjar SouthMKC057,116.779,-29.1755,403.15,120,
792884,73744Minjar SouthMKC058,116.778,-29.1794,383.18,236,
792886,73744Minjar SouthMKC060,116.782,-29.173,414.09,274,
792887,73744Minjar SouthMKC061,116.783,-29.1735,414.26,283,
792889,73744Minjar SouthMKC071,116.775,-29.1769,387.51,230,
792890,73744Minjar SouthMKC076,116.782,-29.1782,390.53,168,
792891,73744Minjar SouthMKC078,116.776,-29.1802,426.82,280,
792892,73744Minjar SouthMKC079,116.775,-29.1795,426.91,245.5,
792893,73744Minjar SouthMKC080,116.777,-29.1834,379.8,150,
792895,73744Minjar SouthMKC089,116.777,-29.1816,392.784,250,
792896,73744Minjar SouthMKC090,116.777,-29.182,386.062,148,
792897,73744Minjar SouthMKC091,116.778,-29.181,382.26,118,
792899,73744Minjar SouthMKC093,116.786,-29.171,384.909,252,
792900,73744Minjar SouthMKC097,116.779,-29.1751,398.299,250,
792901,73744Minjar SouthMKC098,116.783,-29.1786,385.137,136,
792902,73744Minjar SouthMKC099,116.771,-29.1836,396.099,182,
792903,73744Minjar SouthMKC100,116.771,-29.1832,383.263,266,
792904,73744Minjar SouthMKC101,116.773,-29.1859,434.173,242,
792906,73744Minjar SouthMKC104,116.79,-29.1693,370.569,270,
792907,73744Minjar SouthMKC105,116.789,-29.1686,375.946,232,
792908,73744Minjar SouthMKC106,116.789,-29.1686,374.337,240,
792909,73744Minjar SouthMKC108,116.771,-29.1834,390.485,200,
792910,73744Minjar SouthMKC109,116.788,-29.1674,399.536,154,
792912,73744Minjar SouthMKC112,116.789,-29.1686,375.027,234,
792916,73744Minjar SouthMKC116,116.82,-29.149,394.525,108,
792919,73744Minjar SouthMKC119,116.821,-29.1486,399.186,138,
792921,73744Minjar SouthMKC121,116.822,-29.1483,397.86,150,
792922,73744Minjar SouthMKC122,116.822,-29.1481,400.035,126,
792923,73744Minjar SouthMKC123,116.776,-29.1876,391.185,142,
792924,73744Minjar SouthMKC124,116.774,-29.1876,416.671,250,
792931,73744Minjar SouthMKC132,116.775,-29.1904,435.922,298.7,
792932,73744Minjar SouthMKC133,116.785,-29.1701,412.052,208,
792933,73744Minjar SouthMKC134,116.782,-29.1728,410.868,160,
792934,73744Minjar SouthMKC135,116.785,-29.1753,367.357,154,
792935,73744Minjar SouthMKC136,116.777,-29.1812,387.904,110,
792938,73744Minjar SouthMKC139,116.778,-29.1875,363.601,242,
792941,73744Minjar SouthMKC142,116.79,-29.1698,362.564,168,
792942,73744Minjar SouthMKC143,116.787,-29.1721,366.147,160,
792943,73744Minjar SouthMKC144,116.787,-29.1724,364.021,240,
792948,73744Minjar SouthMKC152,116.788,-29.1677,400.745,222,
792949,73744Minjar SouthMKC154,116.778,-29.187,369.148,292,
792950,73744Minjar SouthMKC155,116.779,-29.1881,362.27,148,
792951,73744Minjar SouthMKC156,116.779,-29.1878,362.327,196,
792952,73744Minjar SouthMKW029,116.778,-29.1794,383.16,122,
792957,73744Minjar SouthMKW039,116.779,-29.1802,376.17,132,
827751,69916Mount MulgineBMRC102,116.966,-29.1687,407.513,114,
831902,91452Mt Mulgine11MTD004,116.975,-29.1808,423.85,103.3,
831903,91452Mt Mulgine11MTD005,116.977,-29.1798,439.37,118.85,
872745,63990MNJSWD124,116.924,-29.131,1000,110,
872751,63990MNJSWD132,116.917,-29.1222,1000,101,
872814,63990MNJSWD308,116.919,-29.1447,1000,111,
872815,63990MNJSWD309,116.918,-29.1443,1000,111,
872817,63990MNJSWD311,116.918,-29.1486,1000,119,
872818,63990MNJSWD312,116.908,-29.144,1000,119,
872842,63990MNJSWD361,116.915,-29.1612,1000,104,
872843,63990MNJSWD362,116.914,-29.1612,1000,101,
931212,79530KararaLSC010,117.148,-29.4188,340.915,234,
931213,79530KararaLSC011,117.15,-29.4188,339.331,206,
931214,79530KararaLSC014,117.144,-29.4116,331.21,228,
931215,79530KararaLSC015,117.151,-29.4116,315.535,124,
931216,79530KararaLSC016,117.148,-29.426,361.603,158,
931217,79530KararaLSC017,117.144,-29.4045,323.052,136,
931218,79530KararaLSC018,117.151,-29.4335,365.334,248,
931219,79530KararaLSD006,117.153,-29.4336,368.845,260.7,
931220,79530KararaLSD007,117.151,-29.4405,384.435,229.8,
