attributecolumn,cet_attributecolumn
attributecolumn,cet_attributecolumn
AMG_RL,rl
Elevation,rl
Orig_RL,rl
RL,rl
RL,rl
"Nominal
RL ",rl
RLLocal,rl
RLOrig,rl
RLSurvMethod,rl
325RL,rl
ACC_RL,rl
ADJ_RL,rl
Adjusted_RL,rl
AGD84_RL,rl
AGD84RL,rl
AGD84Z51_RL,rl
AHD RL,rl
AHD_RL,rl
AHD_RL    N,rl
AHDmRL,rl
AHDRL,rl
AHrl,rl
amg  rl,rl
AMG _RL,rl
AMG RL,rl
AMG_84_RL,rl
AMG_mRL,rl
amg_rl,rl
amg_rl    N,rl
AMG_RL_Mine,rl
AMG66_RL,rl
AMG84_RL,rl
AmgRl,rl
Approx RL,rl
APPROX_AHD_ELEV,rl
Approx_RL,rl
Arbitary_RL,rl
Assumed RL,rl
BASERL,rl
BELL_RL,rl
BEST_COORD_RL,rl
Best_RL,rl
BEST_RL_D,rl
Best_RL_Method,rl
BEST_WGS_RL,rl
BestRl,rl
BestRL_D,rl
Bluebush_RL,rl
Calc_RL,rl
CH_KNO_RL,rl
COL RL,rl
Col_RL,rl
COL_RL_m,rl
COLL_RL,rl
Collar Elevation,rl
Collar RL,rl
Collar RL - AMSL,rl
Collar RL - AMSL+1000,rl
Collar RL (m),rl
Collar_RL,rl
Collar_RL_,rl
CollarLoggedBy,rl
Coobina_RL,rl
Corrected_RL,rl
DB_RL,rl
DEM_RL,rl
design_rl,rl
DGPS Elevation MGA94 Zone 51,rl
DGPS RL,rl
DGPS_RL,rl
DGPS_surveyed RL,rl
Download_RL,rl
DTM RL,rl
DTM_RL,rl
DTMRL,rl
dummy rl,rl
Dummy_RL,rl
ELEV,rl
Elev_Best,rl
Elev_Calc,rl
Elev_Given,rl
Elevaion,rl
Elevat,rl
ELEVAT.,rl
Elevati,rl
Elevatio,rl
Elevation,rl
Elevation  TD,rl
Elevation (m) A.S.L.,rl
Elevation (metres),rl
Elevation (RL),rl
Elevation AHD metres,rl
Elevation AHD_RL,rl
Elevation DTM_RL,rl
Elevation mrl amsl,rl
Elevation_101,rl
Elevation_arbitrary,rl
Elevation_local,rl
Elevation_m,rl
Elevation_metres,rl
Elevation_MGA,rl
Elevation_SRTM90,rl
Elevation_TopOfCasing,rl
ElevationInstrument,rl
ElevationTD,rl
ELEVTYPE,rl
EST_RL,rl
extra_poss_dtm_rl,rl
Final RL,rl
FinalRL,rl
Fnl_RL,rl
GDA_RL,rl
GDA94RL,rl
GDA94Z50_RL,rl
GDARL,rl
Geo_RL,rl
GPS_RL,rl
GRD_ELEV,rl
GRID_RL,rl
GridRL,rl
H50_rl,rl
HEAD_RL,rl
Height(RL),rl
HIST_RL,rl
HSG_DEM_RL,rl
ï¿½RL,rl
JNCT_RL,rl
KB_RL,rl
KNO_RL,rl
Lidar_RL,rl
LL_RL,rl
LLRL,rl
LLWGS84_RL,rl
Loc RL,rl
LOC_NICH_RL,rl
LOC_RL,rl
Local RL,rl
Local RL KNO,rl
Local RL Zone29,rl
LOCAL_ELEV,rl
Local_Elevation,rl
LOCAL_RL,rl
Local_RL_Mine,rl
Local_RL_RL,rl
Local_WIL10_RL,rl
Local_WIL50_RL,rl
Local2_RL,rl
LocalRL,rl
LocalRL_1,rl
LOCALTrans_RL,rl
LOCATION RL estimated,rl
LocRL,rl
MAG_Elevation,rl
Mariners_RL,rl
MGA RL,rl
MGA_Elev,rl
MGA_Elevation,rl
MGA_RL,rl
MGA_RL_Z,rl
MGA_Z50_RL,rl
MGA_Z51_RL,rl
MGA50GDA94_mRL,rl
MGA94_RL,rl
MGA94dtmRL,rl
MGA94RL,rl
MGARL,rl
MINE_RL,rl
mRL,rl
mRL*,rl
mRL_AHD,rl
mRL_DTM,rl
mRL_LOC,rl
mRL_LOC_m,rl
mRL_MGA,rl
mRL_Nominal,rl
MTC_RL,rl
NAT RL,rl
NAT_RL,rl
NAT_RL_By,rl
NAT_RL_Date,rl
NAT_RL_Method,rl
NAT_RL_MINE,rl
NAVDTMRL,rl
NewDEM RL,rl
Nom RL,rl
Nom_RL,rl
Nominal RL,rl
Nominal_ RL,rl
Nominal_RL,rl
NominalRL,rl
NomRL,rl
OldDEM_RL,rl
oreig_rl,rl
Orig RL,rl
Orig_Reg_RL,rl
Orig_RL,rl
Orig_RL_Method,rl
Orig_RL_Survey_Method,rl
Orig_RL_Type,rl
Orig_Survey_ByT_Grid_IDT_EastT_NorthT_RL,rl
Original RL,rl
Original_RL,rl
OriginalRL,rl
OrigRL,rl
PMPL_RL,rl
PNC_RL,rl
PREF_RL,rl
Primary_RL,rl
Priority_RL,rl
Project_RL,rl
ProspectProject_code Drill_code EASTING NORTHING rl,rl
Raw_RL,rl
Re RL,rl
Real RL,rl
ref _RL,rl
Ref RL,rl
ref_mRL,rl
ref_mRL   N,rl
ref_rl,rl
RefElev,rl
Reg_Local_RL,rl
Reg_RL,rl
ReginalDTM_RL,rl
Region_rl,rl
RegRL,rl
Rel_RL,rl
RL,rl
RL        n  9  2,rl
RL   9,rl
RL - ASL (m),rl
RL (AHD),rl
RL (AHD) Sea Floor,rl
RL (Arb),rl
RL (assumed),rl
RL (m),rl
RL AHD,rl
RL DGPS - PNC,rl
RL DTM,rl
RL GPS,rl
Rl Nat,rl
RL survey,rl
RL(m),rl
RL(nom.),rl
RL_ Nom,rl
RL__AMSL,rl
RL__Nom,rl
RL_1dgps,rl
RL_2dem,rl
RL_Accuracy,rl
RL_AGD,rl
RL_AHD,rl
RL_AHD83,rl
RL_AMG,rl
RL_AMSL,rl
RL_assign,rl
RL_assigned,rl
RL_Assumed,rl
RL_AT_BOTTOM_OF_SAMPLED_HORIZON,rl
RL_AT_TOP_OF_SAMPLED_HORIZON,rl
RL_BaseWS,rl
RL_BEST,rl
RL_BEST_METHOD,rl
RL_Calc,rl
RL_Correction,rl
RL_DECLUM,rl
RL_DT_SRC,rl
RL_DTM,rl
RL_est(m),rl
RL_EXPL,rl
RL_ft,rl
RL_GlobalDEM,rl
RL_GPS,rl
RL_HOLE,rl
RL_Loc,rl
RL_Local,rl
RL_M,rl
RL_MGA94,rl
RL_MGA94z51,rl
RL_Mine,rl
RL_MTC,rl
RL_nat,rl
RL_nom,rl
RL_Nominal,rl
RL_ORIG,rl
RL_Original,rl
RL_PEM,rl
RL_Regiona,rl
RL_Regional,rl
RL_Regnl,rl
RL_SRTM,rl
RL_SRTM90,rl
RL_SURV,rl
rl_survey,rl
RL_SURVEY_,rl
RL_SV,rl
RL_WAG,rl
RL_WGS,rl
RL-DTM,rl
RLLG,rl
rlloc,rl
RLLocal,rl
RLMGA,rl
RLOrig,rl
RL-RTK,rl
RLUTM,rl
Seabed RL,rl
SELECTED,rl
SRTM_RL,rl
Surface_RL,rl
surv RL,rl
Surv_RL,rl
Survey_RL,rl
Surveyed RL,rl
Surveyed_RL,rl
SurveyedRL,rl
SurvRL,rl
UTM_RL,rl
UTMElev,rl
UTMmRL,rl
UTMRL,rl
WGS84_WORLD_LL_Calc_Z,rl
Wil10_RL,rl
Work_RL,rl
Working_RL,rl
WorkingRL,rl
WorkRL,rl
WWRL,rl
z RL,rl
Z_(RL),rl
ZCOLLAR_RL,rl
ZMINE_RL,rl
zRL,rl
Plot_RL,rl
R.L,rl
AMG48_RL,rl
Precollar_RL,rl
RL_REGIONAL,rl
LOCAL_RL,rl
Elev,rl
REF_RL,rl
ELV,rl
Start_depth,rl
AMG_RL,rl
rl,rl
R.L.,rl
REG_RL,rl
Nat_RL,rl
LOCAL_RL,rl
RL_LOCAL,rl
RL_REGIONAL,rl
PROJECT_RL,rl
elvation,rl
elevation,rl
RL(assumed),rl
RL_SURVEY,rl
SUR DEPTH,rl
RL_Method,rl
Depth_Start_m,rl
ELEVATION,rl
Local_RL,rl
attributecolumn,cet_attributecolumn
TD,maxdepth
Max_Depth,maxdepth
TD,maxdepth
TDEPTH,maxdepth
Tot_Depth,maxdepth
Total Hole Depth,maxdepth
Total_depth,maxdepth
Total depth,maxdepth
DEPTH,maxdepth
TOT_DEPTH,maxdepth
"Final
Depth(m)",maxdepth
"Hole
Depth",maxdepth
"Max Depth
 metres",maxdepth
"Max Depth
",maxdepth
AC Depth,maxdepth
Actual Depth,maxdepth
Auger_DEPTH,maxdepth
BHID1 Max_Depth,maxdepth
core_depth,maxdepth
DD Depth HQ,maxdepth
DD Depth NQ,maxdepth
DD_Depth,maxdepth
DDDepth,maxdepth
DDH_Depth,maxdepth
Depth,maxdepth
DEPTH     N  7  2,maxdepth
DEPTH   7,maxdepth
Depth   m,maxdepth
DEPTH  (m),maxdepth
Depth (EOH),maxdepth
DEPTH (M),maxdepth
Depth (metres),maxdepth
DEPTH _(m),maxdepth
Depth _RC,maxdepth
Depth Diam,maxdepth
Depth Drilled,maxdepth
Depth from_m,maxdepth
Depth m,maxdepth
Depth to_m,maxdepth
Depth(m),maxdepth
Depth_D,maxdepth
Depth_DD,maxdepth
Depth_Diam,maxdepth
Depth_diamond,maxdepth
DEPTH_FT,maxdepth
DEPTH_m,maxdepth
depth_o,maxdepth
Depth_RC,maxdepth
Depth_total,maxdepth
DHDEPTH,maxdepth
Diamond Drill depth,maxdepth
Diamond Tail NQ Depth,maxdepth
DIAMOND_TAIL_DEPTH,maxdepth
DOWN HOLE DEPTH in metres,maxdepth
Drill Depth,maxdepth
Drill_Depth,maxdepth
Drilled_Depth,maxdepth
End of hole depth,maxdepth
END_DEPTH,maxdepth
End_of_Hole_depth,maxdepth
EndDepth,maxdepth
EndOfHoleDepth,maxdepth
EOH Depth,maxdepth
EOH Depth (Metres),maxdepth
EOH_Depth,maxdepth
EOHDepth,maxdepth
F/Depth,maxdepth
F/Depth(m),maxdepth
F_Depth,maxdepth
Fdepth,maxdepth
FIN_DEPTH,maxdepth
Final  Depth,maxdepth
Final Depth,maxdepth
Final Depth (m),maxdepth
FINAL_DEPTH,maxdepth
FinalDepth,maxdepth
Finl_Depth,maxdepth
HDEPTH,maxdepth
Hole depth,maxdepth
Hole Depth (m),maxdepth
Hole_ Depth,maxdepth
Hole_Depth,maxdepth
HOLE_DIPPING_DEPTH,maxdepth
HoleDepth,maxdepth
HQ Depth,maxdepth
ï¿½ï¿½Depthï¿½,maxdepth
MAX DEPTH,maxdepth
max_depth,maxdepth
max_depth (m),maxdepth
Max_Depth m,maxdepth
max_depth N,maxdepth
max_depth(m),maxdepth
MaxDepth,maxdepth
Maximum Depth,maxdepth
Maximum_depth,maxdepth
Min_End_Depth,maxdepth
Mud Drill Depth,maxdepth
RC Depth,maxdepth
RC_DEPTH,maxdepth
RCDepth,maxdepth
TOT DEPTH,maxdepth
TOT_DEPTH,maxdepth
TOT_DEPTH_M,maxdepth
Total  Depth,maxdepth
Total Depth,maxdepth
Total Depth (m),maxdepth
Total Depth Drilled m,maxdepth
Total Depth M,maxdepth
Total Depth(m),maxdepth
Total Hole Depth,maxdepth
Total_ depth,maxdepth
Total_depth,maxdepth
Total_Depth (m),maxdepth
Total_depth_m,maxdepth
TotalDepth,maxdepth
TotalDepth_m,maxdepth
TOTDEPTH,maxdepth
depth,maxdepth
Total_Depth,maxdepth
Max_Depth,maxdepth
Max_depth,maxdepth
Max Depth,maxdepth
PC Depth,maxdepth
Final_Depth,maxdepth
Depth (m),maxdepth
DEPTH,maxdepth
Precollar_Depth,maxdepth
TOTAL_DEPTH,maxdepth
FINAL_Depth,maxdepth
TDepth,maxdepth
Hole_depth,maxdepth
Maxdepth,maxdepth
Tdepth,maxdepth
TDEPTH,maxdepth
Maxdepth,maxdepth
Depth pre_collar,maxdepth
T_depth,maxdepth
Depth,maxdepth
toatl_depth,maxdepth
DEPTH M,maxdepth
PreCollar_Depth,maxdepth
Hole_depth,maxdepth
MAX_DEPTH,maxdepth
total_depth,maxdepth
TOTAL DEPTH,maxdepth
Maxdepth,maxdepth
TOTAL DEPTH,maxdepth
Final_dpth,maxdepth
T_depth,maxdepth
t_depth,maxdepth
End_depth,maxdepth
EOH_DEPTH,maxdepth
EOH DEPTH,maxdepth
SURVEY DEPTH,maxdepth
SURVEY_DEPTH,maxdepth
Survey Depth,maxdepth
Sur_Depth,maxdepth
EOH_depth,maxdepth
Precollar Depth,maxdepth
depth,maxdepth
